,Expected entropy
taxer,6.214507192003133
sorer,6.214705405374343
slang,6.215410582339556
plyer,6.215905126687722
torch,6.216166895390189
nodes,6.216524963221987
prude,6.21653183377481
orbit,6.2168933783971
dirts,6.217102112181035
spied,6.217276999106976
scree,6.217542866684677
eared,6.218003760811494
haunt,6.218716813720382
clued,6.219127001213691
ridge,6.219737393911611
rebut,6.219920167767843
thens,6.219964598238726
frets,6.220581139947004
farts,6.220713412418479
heads,6.220847706185161
ileus,6.221070169581651
clasp,6.2212223537439435
toyed,6.221287155417393
dimer,6.221375760254888
ample,6.221815862737275
nards,6.221826891063457
penis,6.221835785841226
tends,6.221848700959278
mines,6.222220647122745
asker,6.222260607906531
baits,6.222363671847332
strop,6.222851513333525
koine,6.2229948245217335
flies,6.223018586099653
meany,6.223128973807835
scour,6.223237514812326
suety,6.223372754803371
strip,6.223750864076322
rears,6.2237683274718
copra,6.224593878256627
filar,6.2250044956617865
entry,6.225337014869507
melon,6.225572001085424
cadge,6.225654107895472
wrist,6.225655965108447
steel,6.225718932604433
lobes,6.226247976002225
pants,6.226536528806076
coins,6.2271621391187795
three,6.227242191827708
cargo,6.227505561245264
aurae,6.228028378873155
glide,6.228452736785656
bails,6.228700407309786
chars,6.229035667475233
ioctl,6.229224358497367
paced,6.229287664881577
pawer,6.229913700473181
roids,6.2299791262976
split,6.230621659742271
groin,6.230884050556845
abets,6.231031845810868
bagel,6.2310337758725405
rimed,6.231241983768056
fairs,6.231945814774536
bones,6.232064224154768
faery,6.232146351426983
crony,6.232575283694944
liker,6.233268377020506
worst,6.2334648057403
amens,6.233786194330423
vales,6.234247421246816
nuder,6.234732809490761
stark,6.234754454696675
craze,6.234759201374243
irony,6.235333450415324
stoke,6.235360694834594
front,6.235390961466632
based,6.2359735390566975
nodal,6.236319819898351
scarp,6.236366568413371
louts,6.236485975486744
robed,6.23653524331415
grits,6.236706176058107
copes,6.236932554728727
sonly,6.237227677729104
steak,6.2374591290064885
fated,6.237600842637377
piano,6.23780970993068
mince,6.2378553777212105
pitas,6.23858514986205
ogres,6.238780906499104
morts,6.239097375020273
carob,6.23914477336997
grout,6.239157796882678
board,6.239320396673367
antsy,6.239905821674694
peach,6.239941713719177
crams,6.240016674854192
dames,6.24003172051551
sharp,6.240632814249481
homer,6.240834627684884
weald,6.240971156885788
spoil,6.241117036697286
bidet,6.2417231815986645
floes,6.241773215120797
raked,6.242318247506427
doeth,6.242488088372668
guest,6.2426433597801605
moans,6.242772868925701
honed,6.242780809540111
negro,6.243173100794498
blats,6.2431919930386615
malts,6.243205563513104
reran,6.244197752701956
grave,6.244960893414084
tarot,6.245148257996454
first,6.24547908011267
basil,6.245531954817039
marsh,6.245973800512804
aloft,6.246411105855366
heaps,6.246445725438541
ruins,6.246910247785654
setup,6.246995910501294
chute,6.24726495934462
coupe,6.2480616946029635
warts,6.248298617627123
inapt,6.2484031774498625
toady,6.248824512890405
daily,6.248982529948798
areas,6.249243837250844
baton,6.24936420782597
suave,6.250745948069448
mange,6.251570417429378
tetra,6.251887501697777
ochre,6.2521591092117905
model,6.252389789609977
flirt,6.252884947797709
fried,6.253454149324425
loped,6.25410016080223
track,6.254197971783463
fleas,6.254281728535615
horns,6.254356584196871
bream,6.2543842613225
crags,6.254769240120754
altho,6.255034284712079
pages,6.255048480900672
adept,6.2551341271496765
loams,6.255149037236737
scaly,6.255801738326436
deity,6.256292816415017
lapis,6.256565883477827
truly,6.256975462112606
tonic,6.257279919397974
acrid,6.257836453634129
tyros,6.258102343887264
belts,6.2583298275477475
trims,6.258470064817094
uncle,6.25881538686562
moper,6.2590076020164815
shlep,6.259662193056083
kraut,6.25972076386763
dogie,6.260514196421798
align,6.261380237754074
owlet,6.261543883318719
tramp,6.261659303265856
emirs,6.2618973018391495
caged,6.262469692728164
flame,6.263536234099087
togas,6.2642124656112905
scald,6.264259131465034
treks,6.264522448147582
lemur,6.265311915970176
corny,6.265945531606922
arena,6.265963979731944
curio,6.266018625166965
sonic,6.266041421695085
toter,6.2663401934547975
bider,6.266347991995267
treed,6.266372177217608
braid,6.26646076653094
sawed,6.266705353355749
tench,6.266929960690223
scrap,6.266946235197539
token,6.267286853893887
upset,6.268052046843845
meson,6.268147054021675
auric,6.26833545908296
waled,6.26881571650846
laves,6.268941087950548
lemon,6.269077372211671
depot,6.269186239651603
berth,6.269532187976377
posed,6.269615219668908
meads,6.2696188250223335
sneak,6.269811710232161
holey,6.269947741756487
draft,6.270482229840767
spake,6.270527892162468
timed,6.270555135915227
hosed,6.270565209158347
viler,6.270577293189878
scion,6.271075172106464
daisy,6.271251416759749
rumen,6.271900920893523
minor,6.272315860414875
twice,6.272676911245605
sinew,6.272778386764225
glary,6.272901406471826
cower,6.273046486949708
chain,6.274073235668356
navel,6.274276632806044
hames,6.274312045768155
grand,6.27483882345863
runts,6.2748971767777935
claim,6.2750395631642455
yodel,6.275150437317211
snark,6.275551563347885
seals,6.275803756182291
plaid,6.276072733485884
broad,6.277022024257332
mains,6.277362099351208
lover,6.2779066773920125
named,6.277923632903261
seats,6.278438762482098
begat,6.278495133502791
storm,6.278772695920871
nudie,6.278835686889976
venal,6.278943324358284
abide,6.279479458564697
brave,6.279569857992232
gapes,6.27961785544523
flute,6.280055019536587
cafes,6.280459023513071
nasty,6.280669018141278
bruit,6.281168505518145
latch,6.282068964629326
gents,6.282146369196444
dieth,6.28235033250695
title,6.282463880708367
laths,6.282470575282229
hadst,6.282524564271386
mural,6.283001272072598
redip,6.283030184879285
valor,6.2836681454557475
there,6.283882407868066
sates,6.284082326881776
gains,6.284800570577269
lardy,6.284864673472932
lends,6.285077515171126
teats,6.2852582719140875
rapid,6.286029346155544
molas,6.286447608201836
cornu,6.286479277824156
trews,6.2868275915946565
tango,6.286889933561549
spurt,6.287037743482106
moray,6.287100425519151
glans,6.28718945775856
titer,6.287288748465038
mayor,6.287792326230804
idles,6.288259668988328
sales,6.288613021500571
rille,6.2886447122083915
antic,6.288825149071113
spray,6.288859175448616
audit,6.288994747832098
rhino,6.289982874562183
pined,6.290590761233482
sadly,6.290715726338106
dices,6.2907592154016125
miens,6.290814244403204
louis,6.29107530216256
inept,6.291810851049037
redly,6.291856739905874
urges,6.292348567534142
croak,6.292383562442784
snarf,6.292567275600899
servo,6.293630155329091
lodge,6.293631950758362
glues,6.293769192164898
adieu,6.293863502813932
adult,6.293866565702109
vanes,6.2940100749718715
files,6.294145978996654
crisp,6.294486575936811
arses,6.294646019469933
usage,6.294784945039734
mason,6.294809630590522
stoic,6.294909716589116
whore,6.294914861731367
comes,6.295050587621168
oaken,6.295469362798234
abled,6.295565197567536
plash,6.295663606450258
legos,6.296043801657521
value,6.296332068466616
brash,6.296371463431051
soapy,6.297431359640627
lords,6.297558582446669
flora,6.2977858734662515
agley,6.297847778983659
ferns,6.298543869716718
therm,6.299304127307808
spree,6.29939348027417
gaunt,6.299418941521603
ulnas,6.299532804612284
greet,6.299833231029454
erect,6.300084161869976
beaus,6.300166098213543
wager,6.300169519494824
novae,6.3005787528273185
ideas,6.300608552106399
vireo,6.30080285964745
macro,6.301051648229814
edict,6.3011865878821265
foist,6.301627507630831
tacet,6.301819540013625
orbed,6.301842456111984
skirt,6.302301397417043
vires,6.30256681785149
plots,6.302587846273586
fecal,6.302712041727487
reels,6.303050443389563
unarc,6.304020915990135
dolts,6.304248079292807
raved,6.304506323656596
abode,6.305099028412673
duals,6.305680087771997
agree,6.3061619593503515
lands,6.306539487789349
angst,6.30671179268541
fable,6.307126562438807
grasp,6.307174102871688
today,6.307367372046427
liver,6.307585168767831
belay,6.307637776934302
ralph,6.3077271637682975
brand,6.307764868352308
wiles,6.3081509731659535
stony,6.3083975883577414
south,6.308505773440514
shave,6.309280776476091
edits,6.3094137454794135
avers,6.30984826749598
ruche,6.309905664853487
spina,6.310548876511579
along,6.310618801039513
scout,6.310642507204058
doyen,6.310672721081008
girts,6.310992227390337
clads,6.311099963829236
paver,6.311190910676954
rafts,6.311375801947694
amber,6.311428936938421
letup,6.312411323841416
dunce,6.312429221766909
ukase,6.312564727282587
duels,6.31261095928764
under,6.3127748439314
pyres,6.31278186072264
tepid,6.312851372078501
glens,6.313348210740944
saran,6.313587188811975
lotus,6.313599175976053
cagey,6.3136143992071405
dunes,6.313943621653268
scalp,6.314210200400417
glint,6.314500792848568
crawl,6.315725941330129
carat,6.315784910339989
capon,6.315969518447241
coeds,6.31713553418637
stalk,6.31716015182863
straw,6.317437484378391
algin,6.317646243723353
warns,6.317807713354368
libra,6.31861447122594
verso,6.319147048253163
tokes,6.319816600448847
mules,6.3203206935829925
tangs,6.320402021979945
maced,6.320706182524836
giros,6.3209836851091845
supra,6.321436293461531
amble,6.321865701747942
shout,6.3218786283320405
poesy,6.322043144353792
surly,6.322824289385808
aloud,6.323609450787757
amour,6.324168413007828
foals,6.324170780339429
bents,6.324669875614397
demit,6.325101012930863
waned,6.325694881489102
herds,6.326007975025503
crabs,6.326015582539323
third,6.326059665437184
ahold,6.326438067240977
aitch,6.3268350075271425
fails,6.3270300683145075
opals,6.3272781419504165
chard,6.327934158182919
tonga,6.328251445455667
unary,6.328315138730136
faces,6.328658927543346
mutes,6.328696409740579
peace,6.328832285524437
fired,6.328845320295579
gules,6.329182486507625
rubes,6.329344003566396
darer,6.3294050888676265
tiara,6.32959386267041
roves,6.329613706375982
riven,6.329938700520405
laxer,6.330747533274829
chats,6.330912673650249
beret,6.331067596702849
leers,6.331153814377399
henry,6.331164253828974
claps,6.331291755656581
morns,6.331399766868308
cobra,6.3314593230691605
beads,6.331526674443263
tribs,6.3317934373496
lunge,6.331945197045912
piney,6.331995412626903
drays,6.332042392526369
curls,6.332046684601396
tikes,6.33209860372552
scram,6.33260641356714
acmes,6.332640306056254
mohel,6.33265774485903
games,6.332844106164714
noisy,6.332853234249194
duets,6.333028676615796
drily,6.3333944409125715
crier,6.333478424507241
adobe,6.33354503603815
honey,6.333560128000777
ayins,6.333650980321926
merse,6.334045114788792
phial,6.334178575745576
unlit,6.334551769078552
reply,6.334873573013864
stove,6.334875060679695
blues,6.334921206574115
chide,6.3352935567925375
loose,6.33565307166383
altar,6.3356549968946245
wrens,6.335669333756393
round,6.335864380809848
agues,6.3358922260223345
phage,6.335894937061121
cakes,6.335994889283314
tumor,6.336010527805879
bolas,6.336533155513469
metre,6.336558950986403
cuber,6.336846942530524
piton,6.337244519632516
patsy,6.33731751655902
randy,6.338168701812334
goeth,6.3388519756803525
baric,6.338956582396475
pards,6.339083543335355
fault,6.33933273880294
peony,6.339503974758659
kites,6.3397157873796575
gaily,6.339750922495553
aches,6.339921108704307
racer,6.339950786455159
croft,6.340033814522158
oaths,6.34028070613335
cloth,6.340372541654753
sores,6.340696227983235
crank,6.340805213329016
wired,6.341390848575562
aleck,6.341703159677459
deism,6.3417904613269585
limed,6.341972183716333
piety,6.341979621233576
drive,6.342005476938206
weird,6.3422633539496465
moult,6.342399192672773
polis,6.342536345371748
gnats,6.342883405737496
seder,6.342888353400043
rehab,6.342899078319334
basin,6.343171873527141
palsy,6.343258660418912
prays,6.343562697087173
covet,6.343574494109389
girls,6.343580779606556
fiats,6.344407728416489
maker,6.344548393860215
deter,6.344651404827911
hauls,6.345682848788173
chary,6.345725480158977
prosy,6.345856029250152
larks,6.346272660269767
serge,6.346736728286872
flats,6.346840387203598
purge,6.3468826596072585
sheer,6.34717343600865
parer,6.347375899647942
clays,6.34762029111124
parch,6.347952848034834
wrath,6.348437234760734
ocher,6.348802153389937
yules,6.349071249596633
sirup,6.349231691540939
eagle,6.349490680767934
waits,6.34953914925056
image,6.349594001352302
mayst,6.349612151192947
duper,6.34979326396278
peter,6.350219652888018
burst,6.350278653213815
lobed,6.350476721769999
saucy,6.350841719011959
forge,6.351492440627444
wails,6.351617892698677
start,6.352216871164614
cover,6.352402053246651
tract,6.35276296926
erode,6.353190383465522
degas,6.353389257135436
liken,6.3534039708533765
perch,6.3538128593107475
chaos,6.353911602979508
halve,6.354183709412307
codas,6.354392800424295
duple,6.354548832439838
fatso,6.354707539866904
saved,6.354793799650674
sires,6.355283688515114
dopes,6.357161409894818
sheet,6.357196638232731
truer,6.35737970104794
felts,6.357490760430603
guilt,6.357679248318511
wheat,6.357712367448694
skoal,6.35795633636861
lurid,6.358256926889474
kerns,6.358322443182247
drove,6.358853458215445
emits,6.358883092559806
boned,6.359254293872312
giber,6.359336602947666
enter,6.359943422353691
krona,6.360423697506217
toast,6.361005918253652
slurp,6.361352351193157
stoma,6.36143817560842
absit,6.361820496565477
payed,6.361891965404765
sepoy,6.362156245982204
grunt,6.362665133724424
debit,6.362976408617193
gimel,6.363280636555288
hides,6.363480879407919
rives,6.3635264499213084
gleam,6.3637497516405395
admen,6.364074840290247
overt,6.365132532824932
rowan,6.36541816708836
grief,6.365587542458021
geoid,6.3658504248121455
tubes,6.366087713951512
lumen,6.366335252773328
owner,6.3665784826921215
ogles,6.367098100205449
leafy,6.367327212157252
voice,6.367710650185394
scrod,6.367794089141828
robin,6.367931744058037
felon,6.368665189286547
clove,6.36925196305368
olive,6.369293999800847
blurt,6.369523573235299
drags,6.369801716204209
shrew,6.369811283250846
capos,6.369980071921602
chafe,6.370103050117714
viral,6.370128150123621
caput,6.3701910777633195
threw,6.3703950651399595
fruit,6.370688600588442
welts,6.370785929535751
toves,6.370908925834843
drams,6.37104590821602
graft,6.371512530770214
twain,6.371634902932307
mrads,6.37176737813896
cords,6.372204523841722
fines,6.372384928850135
rebid,6.372675105499187
screw,6.372877513096641
pacts,6.373176734370667
baker,6.373682266744719
arums,6.374091491053303
cleft,6.374329775138858
civet,6.374811156401989
golem,6.3748905515046115
twirl,6.375043186977815
amend,6.376184274665049
prove,6.376279470335396
coped,6.376588960267073
mined,6.376616788563398
latex,6.376662418678223
carpy,6.3770530970072095
clerk,6.378149478361483
hopes,6.378374501113015
flied,6.378729172960518
donut,6.378812541086385
raspy,6.378991789533065
drear,6.3791727070036695
horsy,6.379441907082383
rabid,6.3800109477259115
limey,6.380438188465004
harps,6.380805715433576
grins,6.380810880068326
riser,6.380902896978868
beach,6.380963559824546
molts,6.3814944116202845
crops,6.381669973139046
yerba,6.381803800150574
until,6.382202628811561
while,6.382403331855048
caves,6.382954407867295
clams,6.383452706883896
donee,6.383481192933237
brunt,6.383582748872927
corer,6.384089970841024
niche,6.3843154856870825
clang,6.384701707892623
preen,6.384827767184278
franc,6.384865012544782
mosey,6.384982503030615
dicot,6.38499837095874
linty,6.385294890763501
likes,6.385341485625701
pours,6.385832119588171
paged,6.385835577457788
swain,6.38589805133623
boils,6.385926789816195
fairy,6.386085127823614
swirl,6.386140762030205
picot,6.386747769537604
grads,6.38694186897601
dirty,6.387080989473044
sandy,6.387253798490765
unmet,6.387302771156821
hilts,6.387310075082075
thins,6.387351872812733
opted,6.387589643524768
eager,6.387607503038551
pions,6.388723805816229
hours,6.388733418868905
owest,6.388951298446681
panty,6.3903087274725285
corps,6.390512498803396
money,6.390521208653037
spout,6.391210607522839
thief,6.392255729264454
decay,6.392659635078281
media,6.392663345972953
bogie,6.39348934700057
adios,6.393960881378944
razes,6.3943156293449706
teens,6.394349544066016
preys,6.394529591566307
forts,6.394709815467892
dower,6.3950651511917815
fades,6.395540100653996
natch,6.395659680586907
broke,6.395921960433112
globe,6.396158801950854
rowed,6.396292450150883
asset,6.396446486394946
buena,6.396497014784147
mylar,6.396706471765015
naves,6.397481868836832
shunt,6.397754368634204
prams,6.397769448933057
built,6.39804305794844
inlay,6.398044544796559
writs,6.398228173610434
break,6.398257742595438
votes,6.398302261580243
white,6.398688289748755
knelt,6.398716737855461
aunty,6.398871067074876
doily,6.40011742715654
pansy,6.400711442293149
stank,6.400859122155436
aorta,6.401220841127022
dregs,6.401611404393777
hayed,6.40167627510693
minas,6.402018748676212
veils,6.402219956821551
infer,6.402244616131554
broth,6.403195962346419
oring,6.4037772459585
wines,6.403868814724251
yield,6.404158118812971
talks,6.40457757692793
sperm,6.404637976008633
viers,6.404721770191109
lauds,6.404948690055854
loamy,6.405216910762398
beams,6.405469923376378
whole,6.40576374559534
perms,6.4060096116700995
domes,6.406134956326407
gland,6.406484242155961
cheap,6.407462530255969
fresh,6.408159440740105
mourn,6.408308913834542
skein,6.408318959074125
tubal,6.408469958078657
biome,6.408888481093472
leaky,6.40928869601421
ester,6.409333078955077
bilge,6.409455379648629
lisle,6.4096732083509895
atoms,6.409773258406176
wider,6.4099377990071185
taint,6.4101838149968895
burnt,6.4103907869317585
lousy,6.410415427532177
brief,6.410446056896841
doges,6.4106947293812295
yards,6.411181949226451
mauls,6.411241936771775
power,6.4112719097234026
retro,6.411448883132072
hinge,6.4118131439477555
loafs,6.411890718486454
nerdy,6.412105952769347
deign,6.412710099058275
modes,6.412937410956717
pasty,6.413048858678497
laved,6.413069623420641
habit,6.413343547319573
yourn,6.413459090806537
chime,6.413481970074464
sound,6.413736974297885
china,6.413815822451719
surer,6.413864218957365
prima,6.413973324592834
sputa,6.4140960412739565
stork,6.414193620168592
beryl,6.4143977680065625
arias,6.414841981694323
foyer,6.414845062048281
ranks,6.414891809869674
wince,6.415316889340181
dyers,6.415621394376048
unapt,6.415802575936509
sizer,6.4166441619238626
staph,6.416852235051951
cabin,6.417091733983869
harms,6.417109626690577
gaped,6.417698497563644
exalt,6.417716476276437
usher,6.417749456329011
calms,6.418029451443781
wades,6.419033772985555
glued,6.419044017300795
boney,6.419145382562835
blash,6.419223745962456
lefts,6.419634955462688
blots,6.420378330896045
pinto,6.42066138013774
relax,6.42145007355605
rinds,6.422491368922796
poker,6.422730621257409
taxes,6.4227959413719375
warty,6.422863438881468
worts,6.423426807637054
scrip,6.423841455973956
liven,6.424254555323801
dicta,6.42497183914172
fibre,6.425180259047163
slack,6.426157166710709
grays,6.426268291870822
dowse,6.4263340569621485
estop,6.426659393904728
panic,6.427395059471181
urged,6.4276514004888465
rival,6.427966666368086
malty,6.428182883073799
plasm,6.428421289516882
rangy,6.4293141347638745
sleep,6.4296607626760505
horny,6.429759171723021
loves,6.429770986159484
ducat,6.429864415948399
ganef,6.430033538909959
vaned,6.43030604822026
nudes,6.430348946016697
sling,6.430362440787534
lubes,6.430544990639815
puree,6.4305770226401515
craws,6.430939968509588
homes,6.430942495505855
shark,6.431096953766974
spued,6.431422159634198
drawl,6.431515134867087
brads,6.431623685974694
novel,6.4317833661542245
dimes,6.431817410300565
ladle,6.4321372071581795
modal,6.432319945462817
whose,6.432577417619545
drank,6.432638837668573
march,6.432747332869934
sloes,6.433770962306737
lases,6.4341975321859435
croup,6.434993402586801
heady,6.43524731183925
cults,6.435322421089654
mount,6.435485993389815
bolts,6.435775359579862
flake,6.435814104238895
tarts,6.435964495709028
sheaf,6.436255646823697
meter,6.436548035061685
piker,6.436841076474622
eased,6.436948601367914
adopt,6.437101573347104
foray,6.437276501672747
hurts,6.437486067289089
apish,6.43750692055213
towed,6.437656688665899
these,6.437851882723311
final,6.4382494496108755
urban,6.438340543525078
nerfs,6.439036940528332
mercy,6.439143249985758
heres,6.4400257494186475
opens,6.44027316783618
guard,6.440678364265609
turds,6.440859302218416
huger,6.441174425569495
hyena,6.441277310659328
byres,6.441598378798141
often,6.441684183694077
flues,6.44187263001961
mirth,6.441956830486306
splay,6.4422258977326
peaks,6.442254340265771
comas,6.442385989040369
corms,6.443014997125203
roost,6.44320658491207
roars,6.443217887861407
wiper,6.4432774815083595
began,6.444044266192161
units,6.444351311573888
dints,6.4448387747200755
cawed,6.444868327662775
genre,6.445112629641026
decry,6.4452497253049845
abend,6.445811397083085
gilts,6.445860167707107
lordy,6.446168792946481
mopes,6.446439951003879
soars,6.446579426126505
dowel,6.446776237926168
hasty,6.446964930708532
flint,6.447241472788158
fiery,6.447308947599314
login,6.447445636706683
glory,6.447631236074556
techs,6.44773414222771
rusty,6.447735503539605
demur,6.447807987410736
repel,6.447846637711767
swipe,6.44785949256731
greps,6.448148277137559
kyrie,6.448190655468479
aptly,6.448509583305168
sowed,6.448894701499219
runty,6.449448304122572
drier,6.449663106183434
filed,6.449763054809146
vails,6.449788747502679
unarm,6.450015863842201
reify,6.450071210934684
scarf,6.450124509579139
runic,6.450149951356798
trows,6.450358265896312
raper,6.4507404172159175
typal,6.450838258773625
stagy,6.451136699277326
azine,6.451179555409899
gavel,6.451217649806694
lycra,6.451951155470038
prank,6.452314034694662
creed,6.452365085636767
inker,6.4525670843082095
cramp,6.452662218097487
wheal,6.452777514826709
anent,6.45285261604068
scold,6.452978020190441
litho,6.453263041388958
faith,6.453750454337885
gofer,6.453867561724481
spend,6.454049274369663
hiker,6.454110454567783
soles,6.454697826112191
inane,6.45490517997197
drabs,6.454974676504409
ached,6.455606130180598
pints,6.455752127462532
sworn,6.455798357675625
spike,6.456068930159456
guide,6.456118180951191
wafer,6.4563031103237405
plume,6.456318562852127
charm,6.456367047637713
trick,6.45642133034189
hulas,6.456512802534606
hints,6.4568793218306135
girth,6.457489193432329
wiled,6.458251325565091
bland,6.458276015610207
types,6.4583145110875515
rebus,6.4586725369587965
saris,6.458952161065199
poach,6.459469648059434
zeals,6.459952492225671
niece,6.460004875669747
begot,6.460049771301221
purls,6.460268495753164
turps,6.460304711389431
dared,6.460385764536822
tulip,6.460435077496176
cloak,6.460628014106053
sward,6.460855058697592
dense,6.461016471163641
prier,6.461652415875928
crush,6.461889791812983
toked,6.461908684731336
yours,6.4619809067913785
troll,6.462007244457614
houri,6.462100994296142
shaft,6.462428814964603
lives,6.4629659285528325
skied,6.463025425496867
bodes,6.463185900971799
bards,6.463540291592909
tromp,6.463840789783422
flyer,6.464567015251153
germs,6.464641997195978
grams,6.464947189689257
gamed,6.465033974991595
elect,6.465243014841498
vault,6.465953297336543
elide,6.466033396206595
wants,6.466582275454275
grove,6.466631973199884
tanks,6.466641209654188
crepe,6.467532724275284
atilt,6.467792503752058
faced,6.467976536013844
could,6.4679915693883006
muted,6.468417036561684
gluey,6.46859708928532
spurn,6.468620222684129
crews,6.4686832265503895
amino,6.468876781446426
delft,6.469032958665438
picas,6.46906443216384
tangy,6.470205894084967
curve,6.470635154018715
epics,6.470663149687668
scene,6.471337540264617
seeth,6.471605501617927
sites,6.471736620694395
azure,6.4718698608596785
blued,6.472021578217786
graze,6.472080666564591
roved,6.472366642741215
ombre,6.472586909479344
wurst,6.472760156110914
caked,6.473711793101354
norms,6.474241970238604
faker,6.4742600788595155
salvo,6.47433861359719
barer,6.474342405003155
tress,6.474376446189673
bruin,6.475035693125146
noose,6.475085810426418
hurls,6.475625452497246
gonad,6.475870122381135
drift,6.476263045369299
brays,6.477001379489465
vital,6.477400267363491
rearm,6.477431098100236
totes,6.477851422121603
trill,6.4780650498343775
leper,6.478204370059581
yipes,6.478271858311558
dicey,6.478659732261193
irked,6.479426669161365
vials,6.479519415300222
whine,6.480120428009444
items,6.4801766651431025
greys,6.4802440187210335
guano,6.480246472632297
manly,6.481055116169104
matte,6.481562228208088
bides,6.481613315630985
badge,6.481872851855331
pouts,6.482005184284413
monad,6.482085071138918
drawn,6.4824369218347835
haven,6.4827281122971385
duces,6.483079812880688
fames,6.483148657097273
herbs,6.483302616364064
naked,6.4834101481732835
ferny,6.483670561638571
green,6.4840523010890365
ileum,6.484300978947386
otter,6.484846039365895
bacon,6.485023779635406
plays,6.485074199849944
allot,6.485586511740837
sheen,6.486024829924674
churl,6.486700087060802
elfin,6.487023536373544
bronc,6.487550369096543
about,6.48776102178882
eider,6.488311479339592
tongs,6.488764064576186
foils,6.488952171753187
boric,6.489305459354091
perdu,6.489363230034743
birth,6.48951440019516
freak,6.489654246069276
clank,6.49003707894335
eyrie,6.490169928275504
kited,6.490404097215757
roses,6.490929288763066
prism,6.492161778421832
demon,6.492475341595187
pewit,6.492490128045636
denim,6.49261829656039
prods,6.492911373650713
total,6.492982757125471
scrim,6.492992933504727
bayed,6.493474898664947
gnome,6.4937382179483665
elder,6.494358894764069
corgi,6.494653184466558
mower,6.49518520844882
nicad,6.495883094540569
diver,6.496328101404696
amity,6.4963828562608725
chord,6.496968098837859
deice,6.497043704290091
hover,6.497169604926526
ogled,6.497404217559776
stoat,6.497845093487128
tunic,6.498005940075287
froth,6.498032348976428
folia,6.498339245177713
flour,6.498838596461689
tubed,6.499452712645442
tulle,6.499783830095607
siege,6.4999258300011435
skint,6.499945490976115
spoke,6.500205332877918
lazes,6.500445983567467
curly,6.500713647711821
proud,6.501028250115194
genet,6.501156935507817
spark,6.501308667878668
solum,6.501494548579566
hotly,6.501573860030469
wages,6.501964281433034
speak,6.502282146429906
passe,6.502307160628179
goads,6.502483450017077
coven,6.50300445464678
okras,6.503160978746949
vines,6.503510883457099
micro,6.50353176525952
clods,6.503533181128322
ethos,6.504726308966786
pilau,6.505281809244069
lowed,6.505329248038915
blend,6.505733676311847
dynes,6.5069600189072805
styli,6.507063841295005
ovine,6.507112285659902
patch,6.507732068108667
algae,6.508511840969617
braze,6.508884005196211
creep,6.509224847704654
lubra,6.509425372139682
cokes,6.5094412295686315
limos,6.509514147877562
drops,6.509836412518097
rived,6.510244938946474
helps,6.510302539382789
dwelt,6.510546008281274
elope,6.510701853176058
spacy,6.51078897663282
ducal,6.5114085978199805
cunts,6.511542273042257
unbar,6.512073556594915
leery,6.512419084509516
veins,6.512859548954458
omens,6.512897587680658
topic,6.512903215540801
yurts,6.512969568449066
drips,6.51301867061211
girly,6.513127839746388
slink,6.513364625055028
rings,6.513493242935316
aware,6.513511711276523
grind,6.513570238476202
angry,6.513822999462074
conga,6.514100296820695
sails,6.514722221525443
gamey,6.5149946099706595
brags,6.515115077702384
vicar,6.515391745416105
gnash,6.515619825677295
cloud,6.515722766637857
ceder,6.5157842430206845
rises,6.516195348193328
glads,6.516595503119416
waker,6.516780757166671
stall,6.516971509283402
slimy,6.517112054249581
field,6.517220046052057
twerp,6.517368316853145
shove,6.517514919308325
chits,6.517677904498861
alums,6.517916512901851
icons,6.5184591022357585
melba,6.518754924350857
ramps,6.5187613749888635
fiber,6.519600878074004
agate,6.519734805104306
prawn,6.520002924937965
binge,6.520017084266914
torso,6.520143315684543
shiny,6.52017130983983
clips,6.5202830895911505
bueno,6.520310373876223
visor,6.520347261337652
lawns,6.520690622848687
buyer,6.520980572950326
manic,6.5209949518494
tabus,6.521481936265513
tempo,6.521565409769818
berms,6.521941872262581
beady,6.52195128672399
maids,6.521989487291975
slats,6.522135515827759
neigh,6.5225130471743356
direr,6.52265704721896
colds,6.52270553411307
flash,6.522968653945486
mints,6.523019871628835
voila,6.523135165627476
caved,6.523284300436448
paves,6.523516824745364
muley,6.523687436271033
strum,6.5237603665616675
wreak,6.523828277120692
hardy,6.524019516114603
hiver,6.52502849670719
incur,6.525056293087035
lurer,6.525246492088788
flits,6.52550444537715
diems,6.526162209249576
sties,6.5264152900979395
touch,6.526432550703748
texas,6.526590172331271
hoped,6.526668044528221
rupee,6.526825262127468
turbo,6.5268789431910745
creme,6.52739625838658
menus,6.528158120907124
wroth,6.528553744752032
levis,6.5286334844583385
clops,6.528808488718619
chino,6.528869602076514
impel,6.528883853030364
fined,6.528980935496694
fetid,6.529071230363127
cribs,6.529102927214309
cordy,6.529493636016557
focal,6.529577566724221
porch,6.529922626108432
rifts,6.529942378493887
paths,6.5300968765093845
couth,6.53051698958265
lapel,6.53085041541534
spume,6.531138334847563
ghost,6.531205999276098
primo,6.531778710391626
atria,6.5323445621136145
cloys,6.533020849597297
razed,6.533234940179714
briny,6.533285419979252
ricer,6.533419385935347
poems,6.533594650837239
melds,6.533689170066581
barms,6.533764107639327
genus,6.533794663114591
dopey,6.534294688065938
wield,6.53470425425085
bloke,6.534740814673905
egads,6.534910561620551
forth,6.535135840159392
gelds,6.535429414774755
belie,6.5355107575795985
